pc_time,packet_type,esp_millis,steer,throttle,brake,mode_id,fault_flag,status_text
2026-04-23 15:13:06.423,STATUS,22729,,,,,,FRAME_ERROR
2026-04-23 15:13:06.441,STATUS,22749,,,,,,FRAME_ERROR
2026-04-23 15:13:06.454,STATUS,22764,,,,,,FRAME_ERROR
2026-04-23 15:13:06.458,STATUS,22767,,,,,,FRAME_ERROR
2026-04-23 15:13:06.477,STATUS,22786,,,,,,FRAME_ERROR
2026-04-23 15:13:06.497,STATUS,22804,,,,,,FRAME_ERROR
2026-04-23 15:13:06.513,STATUS,22824,,,,,,FRAME_ERROR
2026-04-23 15:13:06.527,STATUS,22838,,,,,,FRAME_ERROR
2026-04-23 15:13:06.530,STATUS,22841,,,,,,FRAME_ERROR
2026-04-23 15:13:06.554,STATUS,22861,,,,,,FRAME_ERROR
2026-04-23 15:13:06.577,STATUS,22878,,,,,,FRAME_ERROR
2026-04-23 15:13:06.587,STATUS,22896,,,,,,FRAME_ERROR
2026-04-23 15:13:06.603,STATUS,22913,,,,,,FRAME_ERROR
2026-04-23 15:13:06.607,STATUS,22917,,,,,,FRAME_ERROR
2026-04-23 15:13:06.627,STATUS,22937,,,,,,FRAME_ERROR
2026-04-23 15:13:06.643,STATUS,22954,,,,,,FRAME_ERROR
2026-04-23 15:13:06.663,STATUS,22972,,,,,,FRAME_ERROR
2026-04-23 15:13:06.677,STATUS,22987,,,,,,FRAME_ERROR
2026-04-23 15:13:06.713,STATUS,23022,,,,,,FRAME_ERROR
2026-04-23 15:13:06.728,STATUS,23036,,,,,,FRAME_ERROR
2026-04-23 15:13:06.748,STATUS,23057,,,,,,FRAME_ERROR
2026-04-23 15:13:06.767,STATUS,23074,,,,,,FRAME_ERROR
2026-04-23 15:13:06.781,STATUS,23088,,,,,,FRAME_ERROR
2026-04-23 15:13:06.781,STATUS,23091,,,,,,FRAME_ERROR
2026-04-23 15:13:06.806,STATUS,23112,,,,,,FRAME_ERROR
2026-04-23 15:13:06.820,STATUS,23127,,,,,,FRAME_ERROR
2026-04-23 15:13:06.838,STATUS,23147,,,,,,FRAME_ERROR
2026-04-23 15:13:06.861,STATUS,23170,,,,,,FRAME_ERROR
2026-04-23 15:13:06.864,STATUS,23173,,,,,,FRAME_ERROR
2026-04-23 15:13:06.882,STATUS,23190,,,,,,FRAME_ERROR
2026-04-23 15:13:06.899,STATUS,23208,,,,,,FRAME_ERROR
2026-04-23 15:13:06.915,STATUS,23223,,,,,,FRAME_ERROR
2026-04-23 15:13:06.930,STATUS,23239,,,,,,FRAME_ERROR
2026-04-23 15:13:06.932,STATUS,23242,,,,,,FRAME_ERROR
2026-04-23 15:13:06.954,STATUS,23262,,,,,,FRAME_ERROR
2026-04-23 15:13:06.976,STATUS,23282,,,,,,FRAME_ERROR
2026-04-23 15:13:06.998,STATUS,23302,,,,,,FRAME_ERROR
2026-04-23 15:13:07.009,STATUS,23317,,,,,,FRAME_ERROR
2026-04-23 15:13:07.011,STATUS,23320,,,,,,FRAME_ERROR
2026-04-23 15:13:07.040,STATUS,23337,,,,,,FRAME_ERROR
2026-04-23 15:13:07.048,STATUS,23355,,,,,,FRAME_ERROR
2026-04-23 15:13:07.066,STATUS,23374,,,,,,FRAME_ERROR
2026-04-23 15:13:07.084,STATUS,23388,,,,,,FRAME_ERROR
2026-04-23 15:13:07.084,STATUS,23391,,,,,,FRAME_ERROR
2026-04-23 15:13:07.101,STATUS,23409,,,,,,FRAME_ERROR
2026-04-23 15:13:07.120,STATUS,23428,,,,,,FRAME_ERROR
2026-04-23 15:13:07.137,STATUS,23446,,,,,,FRAME_ERROR
2026-04-23 15:13:07.152,STATUS,23461,,,,,,FRAME_ERROR
2026-04-23 15:13:07.154,STATUS,23464,,,,,,FRAME_ERROR
2026-04-23 15:13:07.177,STATUS,23487,,,,,,FRAME_ERROR
2026-04-23 15:13:07.198,STATUS,23504,,,,,,FRAME_ERROR
2026-04-23 15:13:07.220,STATUS,23525,,,,,,FRAME_ERROR
2026-04-23 15:13:07.234,STATUS,23542,,,,,,FRAME_ERROR
2026-04-23 15:13:07.234,STATUS,23544,,,,,,FRAME_ERROR
2026-04-23 15:13:07.255,STATUS,23565,,,,,,FRAME_ERROR
2026-04-23 15:13:07.275,STATUS,23583,,,,,,FRAME_ERROR
2026-04-23 15:13:07.294,STATUS,23603,,,,,,FRAME_ERROR
2026-04-23 15:13:07.310,STATUS,23619,,,,,,FRAME_ERROR
2026-04-23 15:13:07.314,STATUS,23622,,,,,,FRAME_ERROR
2026-04-23 15:13:07.333,STATUS,23641,,,,,,FRAME_ERROR
2026-04-23 15:13:07.349,STATUS,23657,,,,,,FRAME_ERROR
2026-04-23 15:13:07.369,STATUS,23677,,,,,,FRAME_ERROR
2026-04-23 15:13:07.386,STATUS,23695,,,,,,FRAME_ERROR
2026-04-23 15:13:07.389,STATUS,23698,,,,,,FRAME_ERROR
2026-04-23 15:13:07.408,STATUS,23716,,,,,,FRAME_ERROR
2026-04-23 15:13:07.426,STATUS,23734,,,,,,FRAME_ERROR
2026-04-23 15:13:07.444,STATUS,23753,,,,,,FRAME_ERROR
2026-04-23 15:13:07.458,STATUS,23767,,,,,,FRAME_ERROR
2026-04-23 15:13:07.460,STATUS,23770,,,,,,FRAME_ERROR
2026-04-23 15:13:07.483,STATUS,23789,,,,,,FRAME_ERROR
2026-04-23 15:13:07.498,STATUS,23807,,,,,,FRAME_ERROR
2026-04-23 15:13:07.521,STATUS,23828,,,,,,FRAME_ERROR
2026-04-23 15:13:07.537,STATUS,23845,,,,,,FRAME_ERROR
2026-04-23 15:13:07.541,STATUS,23849,,,,,,FRAME_ERROR
2026-04-23 15:13:07.559,STATUS,23868,,,,,,FRAME_ERROR
2026-04-23 15:13:07.583,STATUS,23888,,,,,,FRAME_ERROR
2026-04-23 15:13:07.598,STATUS,23908,,,,,,FRAME_ERROR
2026-04-23 15:13:07.614,STATUS,23925,,,,,,FRAME_ERROR
2026-04-23 15:13:07.619,STATUS,23928,,,,,,FRAME_ERROR
2026-04-23 15:13:07.633,STATUS,23943,,,,,,FRAME_ERROR
2026-04-23 15:13:07.654,STATUS,23963,,,,,,FRAME_ERROR
2026-04-23 15:13:07.674,STATUS,23981,,,,,,FRAME_ERROR
2026-04-23 15:13:07.689,STATUS,23998,,,,,,FRAME_ERROR
2026-04-23 15:13:07.692,STATUS,24001,,,,,,FRAME_ERROR
2026-04-23 15:13:07.710,STATUS,24018,,,,,,FRAME_ERROR
2026-04-23 15:13:07.726,STATUS,24035,,,,,,FRAME_ERROR
2026-04-23 15:13:07.747,STATUS,24056,,,,,,FRAME_ERROR
2026-04-23 15:13:07.760,STATUS,24069,,,,,,FRAME_ERROR
2026-04-23 15:13:07.763,STATUS,24073,,,,,,FRAME_ERROR
2026-04-23 15:13:07.785,STATUS,24094,,,,,,FRAME_ERROR
2026-04-23 15:13:07.803,STATUS,24112,,,,,,FRAME_ERROR
2026-04-23 15:13:07.822,STATUS,24131,,,,,,FRAME_ERROR
2026-04-23 15:13:07.841,STATUS,24146,,,,,,FRAME_ERROR
2026-04-23 15:13:07.842,STATUS,24150,,,,,,FRAME_ERROR
2026-04-23 15:13:07.860,STATUS,24166,,,,,,FRAME_ERROR
2026-04-23 15:13:07.878,STATUS,24183,,,,,,FRAME_ERROR
2026-04-23 15:13:07.893,STATUS,24202,,,,,,FRAME_ERROR
2026-04-23 15:13:07.911,STATUS,24220,,,,,,FRAME_ERROR
2026-04-23 15:13:07.913,STATUS,24224,,,,,,FRAME_ERROR
2026-04-23 15:13:07.931,STATUS,24240,,,,,,FRAME_ERROR
2026-04-23 15:13:07.948,STATUS,24257,,,,,,FRAME_ERROR
2026-04-23 15:13:07.971,STATUS,24277,,,,,,FRAME_ERROR
2026-04-23 15:13:07.985,STATUS,24293,,,,,,FRAME_ERROR
2026-04-23 15:13:07.988,STATUS,24297,,,,,,FRAME_ERROR
2026-04-23 15:13:08.011,STATUS,24320,,,,,,FRAME_ERROR
2026-04-23 15:13:08.031,STATUS,24338,,,,,,FRAME_ERROR
2026-04-23 15:13:08.047,STATUS,24356,,,,,,FRAME_ERROR
2026-04-23 15:13:08.062,STATUS,24371,,,,,,FRAME_ERROR
2026-04-23 15:13:08.065,STATUS,24374,,,,,,FRAME_ERROR
2026-04-23 15:13:08.083,STATUS,24393,,,,,,FRAME_ERROR
2026-04-23 15:13:08.102,STATUS,24413,,,,,,FRAME_ERROR
2026-04-23 15:13:08.121,STATUS,24431,,,,,,FRAME_ERROR
2026-04-23 15:13:08.146,STATUS,24448,,,,,,FRAME_ERROR
2026-04-23 15:13:08.146,STATUS,24451,,,,,,FRAME_ERROR
2026-04-23 15:13:08.160,STATUS,24469,,,,,,FRAME_ERROR
2026-04-23 15:13:08.186,STATUS,24491,,,,,,FRAME_ERROR
2026-04-23 15:13:08.203,STATUS,24510,,,,,,FRAME_ERROR
2026-04-23 15:13:08.216,STATUS,24525,,,,,,FRAME_ERROR
2026-04-23 15:13:08.219,STATUS,24529,,,,,,FRAME_ERROR
2026-04-23 15:13:08.241,STATUS,24550,,,,,,FRAME_ERROR
2026-04-23 15:13:08.263,STATUS,24568,,,,,,FRAME_ERROR
2026-04-23 15:13:08.281,STATUS,24588,,,,,,FRAME_ERROR
2026-04-23 15:13:08.299,STATUS,24603,,,,,,FRAME_ERROR
2026-04-23 15:13:08.301,STATUS,24607,,,,,,FRAME_ERROR
