pc_time,packet_type,esp_millis,byte_hex,byte_dec,steer,throttle,brake,mode_id,fault_flag,status_text,raw_line
2026-04-23 16:01:57.784,RAWBYTE,12938,0b,11,,,,,,,"RAWBYTE,12938,0b,11"
2026-04-23 16:01:57.803,RAWBYTE,12959,16,22,,,,,,,"RAWBYTE,12959,16,22"
2026-04-23 16:01:57.825,RAWBYTE,12979,01,1,,,,,,,"RAWBYTE,12979,01,1"
2026-04-23 16:01:57.845,RAWBYTE,13000,21,33,,,,,,,"RAWBYTE,13000,21,33"
2026-04-23 16:01:57.865,RAWBYTE,13020,02,2,,,,,,,"RAWBYTE,13020,02,2"
2026-04-23 16:01:57.885,RAWBYTE,13041,16,22,,,,,,,"RAWBYTE,13041,16,22"
2026-04-23 16:01:57.906,RAWBYTE,13061,0a,10,,,,,,,"RAWBYTE,13061,0a,10"
2026-04-23 16:01:57.928,RAWBYTE,13082,0b,11,,,,,,,"RAWBYTE,13082,0b,11"
2026-04-23 16:01:57.947,RAWBYTE,13102,16,22,,,,,,,"RAWBYTE,13102,16,22"
2026-04-23 16:01:57.970,RAWBYTE,13123,01,1,,,,,,,"RAWBYTE,13123,01,1"
2026-04-23 16:01:57.988,RAWBYTE,13143,0a,10,,,,,,,"RAWBYTE,13143,0a,10"
2026-04-23 16:01:58.010,RAWBYTE,13164,0b,11,,,,,,,"RAWBYTE,13164,0b,11"
2026-04-23 16:01:58.032,RAWBYTE,13184,16,22,,,,,,,"RAWBYTE,13184,16,22"
2026-04-23 16:01:58.050,RAWBYTE,13205,21,33,,,,,,,"RAWBYTE,13205,21,33"
2026-04-23 16:01:58.072,RAWBYTE,13225,02,2,,,,,,,"RAWBYTE,13225,02,2"
2026-04-23 16:01:58.091,RAWBYTE,13246,01,1,,,,,,,"RAWBYTE,13246,01,1"
2026-04-23 16:01:58.112,RAWBYTE,13266,21,33,,,,,,,"RAWBYTE,13266,21,33"
2026-04-23 16:01:58.134,RAWBYTE,13287,0b,11,,,,,,,"RAWBYTE,13287,0b,11"
2026-04-23 16:01:58.153,RAWBYTE,13307,16,22,,,,,,,"RAWBYTE,13307,16,22"
2026-04-23 16:01:58.175,RAWBYTE,13328,0a,10,,,,,,,"RAWBYTE,13328,0a,10"
2026-04-23 16:01:58.194,RAWBYTE,13348,02,2,,,,,,,"RAWBYTE,13348,02,2"
2026-04-23 16:01:58.215,RAWBYTE,13369,0a,10,,,,,,,"RAWBYTE,13369,0a,10"
2026-04-23 16:01:58.237,RAWBYTE,13389,02,2,,,,,,,"RAWBYTE,13389,02,2"
2026-04-23 16:01:58.254,RAWBYTE,13410,16,22,,,,,,,"RAWBYTE,13410,16,22"
2026-04-23 16:01:58.277,RAWBYTE,13430,0a,10,,,,,,,"RAWBYTE,13430,0a,10"
2026-04-23 16:01:58.296,RAWBYTE,13450,21,33,,,,,,,"RAWBYTE,13450,21,33"
2026-04-23 16:01:58.316,RAWBYTE,13471,02,2,,,,,,,"RAWBYTE,13471,02,2"
2026-04-23 16:01:58.341,RAWBYTE,13492,16,22,,,,,,,"RAWBYTE,13492,16,22"
2026-04-23 16:01:58.357,RAWBYTE,13512,0a,10,,,,,,,"RAWBYTE,13512,0a,10"
2026-04-23 16:01:58.379,RAWBYTE,13532,02,2,,,,,,,"RAWBYTE,13532,02,2"
2026-04-23 16:01:58.408,RAWBYTE,13553,01,1,,,,,,,"RAWBYTE,13553,01,1"
